San Francisco Magic Show,The Embarcadero and Beach St.,San Francisco,CA,94133,1-415-623-5333,"Owner description: San Francisco’s Aquarium of the Bay at Pier 39 proudly presents “The San Francisco Magic Show” at the newly remodeled 270 seat Bay Theater, starring Las Vegas Comedy Magician Timothy Noonan.“The San Francisco Magic Show” – is a 60 minute, hilarious, family-friendly comedy magic experience! Perfect for families, couples, and visitors just like you, this magical experience is a perfect blend of Timothy Noonan’s amazing magic and “laugh-out-loud” comedy! « less  Marin Headlands Marrakech Magic Theater Lands End Golden Gate Bridge Alcatraz AT&T Park San Francisco Bay Beach Blanket Babylon San Francisco Opera Walt Disney Family Museum Legion of Honor Twin Peaks Golden Gate Park Palace of Fine Arts Crissy Field Asian Art Museum San Francisco Symphony Cable Car Museum Glide Memorial United Methodist Church",http://www.tripadvisor.com/Attraction_Review-g60713-d2444698-Reviews-San_Francisco_Magic_Show-San_Francisco_California.html
Marin Headlands,Building 948 Fort Barry,San Francisco,CA,94965,415-331-1540,San Francisco Magic Show Marrakech Magic Theater Lands End Golden Gate Bridge Alcatraz AT&T Park San Francisco Bay Beach Blanket Babylon San Francisco Opera Walt Disney Family Museum Legion of Honor Twin Peaks Golden Gate Park Palace of Fine Arts Crissy Field Asian Art Museum San Francisco Symphony Cable Car Museum Glide Memorial United Methodist Church,http://www.tripadvisor.com/Attraction_Review-g60713-d103182-Reviews-Marin_Headlands-San_Francisco_California.html
Marrakech Magic Theater,419 O'Farrell Street,San Francisco,CA,94102,877-624-4264,"Owner description: An uproarious one-of-a-kind close-up show in an intimate, historic setting.Featuring the comedy and classical magic of San Francisco Magician Peter Morrison.Have an experience to last a lifetime.At The Marrakech Magic Theater, cherished memories are made during Peter Morrison's unique comedy and magic experience. The evening begins one hour before the show in the Sultan's Oasis lounge where guests can enjoy s little pre-show entertainment and meet and greet with Magician and host Peter Morrison. Drinks and appetizers are available for purchase as well during this hour before the main show. Your evening ends in the Magic Theater with Peter's unforgettable 75 minute performance in the Main Showroom.Have a stress-free night, full of laughter and sensational entertainment!The Main Showroom is a intimate close-up theater, perfect for high spirits and Peter's extraordinary performances. You'll witness intriguing feats of mentalism, sleight of hand miracles, and throughout, his clean comedy will keep you laughing!Have a remarkable evening-see a show so fantastic that you'll almost forget that you're still in San Francisco! « less  San Francisco Magic Show Marin Headlands Lands End Golden Gate Bridge Alcatraz AT&T Park San Francisco Bay Beach Blanket Babylon San Francisco Opera Walt Disney Family Museum Legion of Honor Twin Peaks Golden Gate Park Palace of Fine Arts Crissy Field Asian Art Museum San Francisco Symphony Cable Car Museum Glide Memorial United Methodist Church",http://www.tripadvisor.com/Attraction_Review-g60713-d2098477-Reviews-Marrakech_Magic_Theater-San_Francisco_California.html
Lands End,Western End Geary Blvd.,San Francisco,CA,94121,415-556-8642,San Francisco Magic Show Marin Headlands Marrakech Magic Theater Golden Gate Bridge Alcatraz AT&T Park San Francisco Bay Beach Blanket Babylon San Francisco Opera Walt Disney Family Museum Legion of Honor Twin Peaks Golden Gate Park Palace of Fine Arts Crissy Field Asian Art Museum San Francisco Symphony Cable Car Museum Glide Memorial United Methodist Church,http://www.tripadvisor.com/Attraction_Review-g60713-d117409-Reviews-Lands_End-San_Francisco_California.html
Golden Gate Bridge,"Lincoln Boulevard, near Doyle Drive and Fort Point",San Francisco,CA,94129,415-921-5858,San Francisco Magic Show Marin Headlands Marrakech Magic Theater Lands End Alcatraz AT&T Park San Francisco Bay Beach Blanket Babylon San Francisco Opera Walt Disney Family Museum Legion of Honor Twin Peaks Golden Gate Park Palace of Fine Arts Crissy Field Asian Art Museum San Francisco Symphony Cable Car Museum Glide Memorial United Methodist Church,http://www.tripadvisor.com/Attraction_Review-g60713-d104675-Reviews-Golden_Gate_Bridge-San_Francisco_California.html
Alcatraz,"Alcatraz Landing, Pier 33",San Francisco,CA,94133,415-981-7625,San Francisco Magic Show Marin Headlands Marrakech Magic Theater Lands End Golden Gate Bridge AT&T Park San Francisco Bay Beach Blanket Babylon San Francisco Opera Walt Disney Family Museum Legion of Honor Twin Peaks Golden Gate Park Palace of Fine Arts Crissy Field Asian Art Museum San Francisco Symphony Cable Car Museum Glide Memorial United Methodist Church,http://www.tripadvisor.com/Attraction_Review-g60713-d102523-Reviews-Alcatraz-San_Francisco_California.html
AT&T Park,Third and Townsend streets,San Francisco,CA,94103,877 734 1001,San Francisco Magic Show Marin Headlands Marrakech Magic Theater Lands End Golden Gate Bridge Alcatraz San Francisco Bay Beach Blanket Babylon San Francisco Opera Walt Disney Family Museum Legion of Honor Twin Peaks Golden Gate Park Palace of Fine Arts Crissy Field Asian Art Museum San Francisco Symphony Cable Car Museum Glide Memorial United Methodist Church,http://www.tripadvisor.com/Attraction_Review-g60713-d557330-Reviews-AT_T_Park-San_Francisco_California.html
San Francisco Bay,"",San Francisco,CA,"",Website,San Francisco Magic Show Marin Headlands Marrakech Magic Theater Lands End Golden Gate Bridge Alcatraz AT&T Park Beach Blanket Babylon San Francisco Opera Walt Disney Family Museum Legion of Honor Twin Peaks Golden Gate Park Palace of Fine Arts Crissy Field Asian Art Museum San Francisco Symphony Cable Car Museum Glide Memorial United Methodist Church,http://www.tripadvisor.com/Attraction_Review-g60713-d106745-Reviews-San_Francisco_Bay-San_Francisco_California.html
Beach Blanket Babylon,678 Beach Blanket Babylon Boulevard (Green Street),San Francisco,CA,"",415-421-4222,"Owner description: On June 7, 1974, Steve Silver produced a small show in the back room of the Savoy Tivoli Restaurant in San Francisco. The show was to run for six weeks. That was over 37 years ago… Today, Steve Silver’s Beach Blanket Babylon has the distinguished title of “World’s Longest Running Musical Revue.” The show – a musical spoof known internationally for its extravagant costumes, outrageous hats, show-stopping numbers and hilarious puns of pop culture and political character – has been seen by over 5.5 million people, including HRC Queen Elizabeth II, Prince Charles and Camilla the Duchess of Cornwall as well as some of Hollywood’s biggest stars.""Steve Silver's Beach Blanket Babylon,"" hailed as “a constant cascade of showstoppers” by the ""San Francisco Chronicle"", follows Snow White as she takes a fast-paced journey around the world in search of her “Prince Charming.” Along the way she encounters a star-studded, ever-changing line-up of hilarious pop-culture characters, including President Barack & Michelle Obama, Gangnam Style, Prince William, Kate Middleton and the Queen of England, Honey Boo Boo, Governor Jerry Brown, Justin Bieber, Nicki Minaj, Hilary & Bill Clinton, Oprah Winfrey, Nancy Pelosi, Michael Jackson, Adele, General David Patraeus, “50 Shades of Grey,” and The San Francisco Giants. « less  San Francisco Magic Show Marin Headlands Marrakech Magic Theater Lands End Golden Gate Bridge Alcatraz AT&T Park San Francisco Bay San Francisco Opera Walt Disney Family Museum Legion of Honor Twin Peaks Golden Gate Park Palace of Fine Arts Crissy Field Asian Art Museum San Francisco Symphony Cable Car Museum Glide Memorial United Methodist Church",http://www.tripadvisor.com/Attraction_Review-g60713-d142394-Reviews-Beach_Blanket_Babylon-San_Francisco_California.html
San Francisco Opera,"",San Francisco,CA,"",Website,San Francisco Magic Show Marin Headlands Marrakech Magic Theater Lands End Golden Gate Bridge Alcatraz AT&T Park San Francisco Bay Beach Blanket Babylon Walt Disney Family Museum Legion of Honor Twin Peaks Golden Gate Park Palace of Fine Arts Crissy Field Asian Art Museum San Francisco Symphony Cable Car Museum Glide Memorial United Methodist Church,http://www.tripadvisor.com/Attraction_Review-g60713-d142412-Reviews-San_Francisco_Opera-San_Francisco_California.html
Walt Disney Family Museum,104 Montgomery St,San Francisco,CA,94129,415 345 6800,San Francisco Magic Show Marin Headlands Marrakech Magic Theater Lands End Golden Gate Bridge Alcatraz AT&T Park San Francisco Bay Beach Blanket Babylon San Francisco Opera Legion of Honor Twin Peaks Golden Gate Park Palace of Fine Arts Crissy Field Asian Art Museum San Francisco Symphony Cable Car Museum Glide Memorial United Methodist Church,http://www.tripadvisor.com/Attraction_Review-g60713-d1556974-Reviews-Walt_Disney_Family_Museum-San_Francisco_California.html
Legion of Honor,34th Ave & Clement St,San Francisco,CA,94121,415 863 3330,San Francisco Magic Show Marin Headlands Marrakech Magic Theater Lands End Golden Gate Bridge Alcatraz AT&T Park San Francisco Bay Beach Blanket Babylon San Francisco Opera Walt Disney Family Museum Twin Peaks Golden Gate Park Palace of Fine Arts Crissy Field Asian Art Museum San Francisco Symphony Cable Car Museum Glide Memorial United Methodist Church,http://www.tripadvisor.com/Attraction_Review-g60713-d156333-Reviews-Legion_of_Honor-San_Francisco_California.html
Twin Peaks,"",San Francisco,CA,94131,415 391 2000,San Francisco Magic Show Marin Headlands Marrakech Magic Theater Lands End Golden Gate Bridge Alcatraz AT&T Park San Francisco Bay Beach Blanket Babylon San Francisco Opera Walt Disney Family Museum Legion of Honor Golden Gate Park Palace of Fine Arts Crissy Field Asian Art Museum San Francisco Symphony Cable Car Museum Glide Memorial United Methodist Church,http://www.tripadvisor.com/Attraction_Review-g60713-d105363-Reviews-Twin_Peaks-San_Francisco_California.html
Golden Gate Park,501 Stanyan St,San Francisco,CA,94117,(415) 831-2700,San Francisco Magic Show Marin Headlands Marrakech Magic Theater Lands End Golden Gate Bridge Alcatraz AT&T Park San Francisco Bay Beach Blanket Babylon San Francisco Opera Walt Disney Family Museum Legion of Honor Twin Peaks Palace of Fine Arts Crissy Field Asian Art Museum San Francisco Symphony Cable Car Museum Glide Memorial United Methodist Church,http://www.tripadvisor.com/Attraction_Review-g60713-d311684-Reviews-Golden_Gate_Park-San_Francisco_California.html
